asset_id,canonical_site_id,canonical_slug,name_ar,slot,local_filename,sha256,mime_type,file_size_bytes,creator,copyright_holder,source_url,creation_or_capture_date,licence,permission_evidence_file,attribution_text_ar,allowed_use,territory,expiry_date,people_consent,private_property_consent,sensitive_location_review,derivative_edits,review_status,reviewer,review_date,rejection_or_hold_reason
,site-b6773e683274,jbl-jrzym-b6773e,جبل جرزيم,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-b6773e683274,jbl-jrzym-b6773e,جبل جرزيم,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-b6773e683274,jbl-jrzym-b6773e,جبل جرزيم,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-b6773e683274,jbl-jrzym-b6773e,جبل جرزيم,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-160c60c7b952,hr-lysmyn-160c60,حارة الياسمينة,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-160c60c7b952,hr-lysmyn-160c60,حارة الياسمينة,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-160c60c7b952,hr-lysmyn-160c60,حارة الياسمينة,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-160c60c7b952,hr-lysmyn-160c60,حارة الياسمينة,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-31c7667ff10e,khn-ltjr-31c766,خان التجار,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-31c7667ff10e,khn-ltjr-31c766,خان التجار,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-31c7667ff10e,khn-ltjr-31c766,خان التجار,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-31c7667ff10e,khn-ltjr-31c766,خان التجار,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-6f6afe87f969,sbsty-shmrwn-6f6afe,سبسطية (شمرون),hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-6f6afe87f969,sbsty-shmrwn-6f6afe,سبسطية (شمرون),gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-6f6afe87f969,sbsty-shmrwn-6f6afe,سبسطية (شمرون),map,,,,,,,,,,,,,,,,,,,pending,,,
,site-6f6afe87f969,sbsty-shmrwn-6f6afe,سبسطية (شمرون),document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-d00341226494,mqm-lnby-sh-yb-d00341,مقام النبي شعيب,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-d00341226494,mqm-lnby-sh-yb-d00341,مقام النبي شعيب,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-d00341226494,mqm-lnby-sh-yb-d00341,مقام النبي شعيب,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-d00341226494,mqm-lnby-sh-yb-d00341,مقام النبي شعيب,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-fb9a817ec94a,mqm-lnby-ywsf-blt-fb9a81,مقام النبي يوسف (بلاطة),hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-fb9a817ec94a,mqm-lnby-ywsf-blt-fb9a81,مقام النبي يوسف (بلاطة),gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-fb9a817ec94a,mqm-lnby-ywsf-blt-fb9a81,مقام النبي يوسف (بلاطة),map,,,,,,,,,,,,,,,,,,,pending,,,
,site-fb9a817ec94a,mqm-lnby-ywsf-blt-fb9a81,مقام النبي يوسف (بلاطة),document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-f2a7fbbda5a5,bld-jnyn-lqdym-f2a7fb,بلدة جنين القديمة,hero,,,,,,,,,,,,,,,,,,,pending,,,
